rxcui	conceptId	drugBank
1368871	43013853	DB03462
72962	1315942	DB01248
8356	1146810	DB00554
11645	19011091	DB08826
2670	43081622	DB00318
19737	1139179	DB00963
4018	19045045	DB00153
1547611	45776147	DB04911
68147	1503983	DB00050
11202	1308290	DB00541
195085	1738135	DB00625
321952	915935	DB00337
82122	1742253	DB01137
73137	19017067	DB00775
30009	1510202	DB00491
8134	734275	DB01174
32624	718122	DB00776
91293	19135920	DB00735
1251576	42709329	DB07980
10553	19000726	DB02513
1302966	42873638	DB08889
30145	19072126	DB00764
214342	951469	DB00258
8727	1552310	DB00396
1494066	44816310	DB09031
461016	757352	DB00402
6851	1305058	DB00563
28889	1107830	DB00455
4103	1549254	DB00655
4083	43084520	DB00783
8163	1135766	DB00388
642274	991003	DB01256
719	43117326	DB01351
8896	1154332	DB00852
140587	1118084	DB00482
4501	756349	DB00690
4109	19103548	DB00903
38400	742185	DB00289
4025	1145379	DB00696
10438	1237049	DB00277
11413	1710612	DB00495
1494854	44816315	DB02613
19044	19036946	DB00676
407990	1548111	DB01012
480167	1359548	DB01259
28004	19069136	DB01020
37617	1741122	DB01606
1300701	42873635	DB04871
21241	19050832	DB00349
8629	1350489	DB00457
6911	1106740	DB00247
10524	19000537	DB00156
8782	753626	DB00818
37925	741530	DB01083
7704	19024365	DB00129
480	43084767	DB00802
10634	19002829	DB00797
10178	19136429	DB01582
60223	981774	DB00210
4910	961145	DB04077
72625	715259	DB00476
705022	19126348	DB08906
7821	925952	DB00595
55672	1777417	DB00615
3423	1126658	DB00327
8640	1551099	DB00635
1420982	43526080	DB04827
25544	19097605	DB05260
8299	19044337	DB00981
4127	1750074	DB00609
6373	1589505	DB00367
4491	955583	DB00324
6711	1301152	DB01065
227240	19054765	DB00692
1363030	43012270	DB02774
863035	40166571	DB04890
228790	989482	DB01126
460132	1756831	DB01264
1546427	45775563	DB02731
1191	1112807	DB00945
1312397	42903460	DB08896
44151	19054821	DB00631
153374	19017196	DB00764
10454	19137312	DB00152
6915	906780	DB01233
228656	1789428	DB00701
337068	19025194	DB00992
587318	19122122	DB03085
9525	964407	DB00936
2177	1769535	DB01140
3109	43083730	DB00694
7883	19026674	DB01337
1102270	40238930	DB08864
7631	19129480	DB04224
27169	1101898	DB01097
861634	40165636	DB08860
6809	1503297	DB00331
475230	19058410	DB06699
56946	1378382	DB01229
9060	19060393	DB04216
1373478	43526424	DB08908
10898	19006186	DB00150
52175	1367500	DB00678
7832	19129646	DB00345
991260	40183759	DB02938
596	781039	DB00404
10362	19136750	DB00444
6678	19125097	DB00939
1886	43077081	DB00201
74	43117349	DB02362
1808	932745	DB00887
6572	992716	DB06795
1001	43058447	DB01435
3444	928744	DB00985
7242	1114220	DB01183
