FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
CLOZARIL	J60AR2IKIC	216102	None	None	None
KHAYA SENEGALENSIS BARK EXTRACT	1S7EDA839L	1307601	None	None	None
SUGARCANE EXTRACT	81H2R5AOH3	1358491	None	None	None
BRUCELLA MELITENSIS	OQF85710LZ	1318470	None	None	None
OVALBUMIN	B05Y6V2CZS	1314593	None	None	None
TYPHOID VACCINE	760T5R8B3O	10953	None	None	None
ARTEMISIA ABSINTHIUM WHOLE	51PW3BIW1K	1428850	None	None	None
METHACYCLINE HYDROCHLORIDE	9GJ0N7ZAP0	235554	None	None	None
GREEN TEA LEAF	W2ZU1RY8B0	283567	None	None	None
DEXETIMIDE HCL	B987A3XX7D	259361	None	None	None
CLIDINIUM BROMIDE	91ZQW5JF1Z	48212	None	None	None
LITHIUM BENZOATE	R9Z042Z19E	1363722	None	None	None
BLUEBERRY ALLERGENIC EXTRACT	NXH9EU7QU9	899382	None	None	None
HOREHOUND	K08036XEJV	1426436	None	None	None
2-AMINO-2-(2-(4-OCTYLPHENYL)ETHYL)PROPANE-1,3-DIOL	3QN8BYN5QF	1012892	None	None	None
SODIUM BISULFITE	TZX5469Z6I	36679	None	None	None
OSTREA EDULIS SHELL	49OY13BE7Z	1438113	None	None	None
GOLDEN SEAL ROOT EXTRACT	ZW3Z11D0JV	283680	None	None	None
ALLERGENIC EXTRACT, SYCAMORE	E03U1K03LK	314463	None	None	None
METHYL AMINOLEVULINATE HYDROCHLORIDE	7S73606O1A	1300479	None	None	None
PELARGONIUM GRAVEOLENS WHOLE	0E553RP62F	1442512	None	None	None
PROPRANOLOL HYDROCHLORIDE	F8A3652H1V	82084	None	None	None
CUPRESSUS SEMPERVIRENS WHOLE	V0IW9P606J	1483424	None	None	None
CHLOROPROPYLATE	GI03ROM7HQ	1435282	None	None	None
IVA AXILLARIS POLLEN	13KFG30UBR	852539	None	None	None
BOS TAURUS GALLBLADDER	9901V1E867	1310256	None	None	None
RIFAMYCIN SODIUM	32086GS35Z	236475	None	None	None
TUNA, UNSPECIFIED	V2T3IHT3E2	892503	None	None	None
ZAROXOLYN	TZ7V40X7VX	203794	None	None	None
1,3-DIMETHYLBUTYL SALICYLATE	47OL39K42M	1424661	None	None	None
SORBITAN OLEATE	06XEA2VD56	1363056	None	None	None
PROCYSBI	QO84GZ3TST	1421468	None	None	None
CAMPESTEROL	5L5O665639	20129	None	None	None
TERIPARATIDE ACETATE	9959P4V12N	114260	None	None	None
ALEURITES MOLUCCANA SEED EXTRACT	J87WJ3E7VW	1307863	None	None	None
ARALIA CORDATA ROOT	6KW7950A8P	1420958	None	None	None
3'-AZIDO-3'-DEOXYTHYMIDINE	4B9XT59T7S	11413	None	None	None
SHARK	KEK41AP35U	1309513	None	None	None
NICKEL ACETATE TETRAHYDRATE	6SOA8L0560	1313175	None	None	None
LURASIDONE	22IC88528T	1040028	Lurasidone	DB08815	CHEBI_70735
PFIZERPEN	VL775ZTH4C	8096	None	None	None
VIRACEPT	98D603VP8V	134526	None	None	None
BOS TAURUS EYE	VTW461N43P	1442193	None	None	None
MIOCHOL	AF73293C2R	81941	None	None	None
OSPEMIFENE	B0P231ILBK	1370971	Ospemifene	DB04938	None
ALNUS GLUTINOSA POLLEN EXTRACT	X5K014C28D	1484973	None	None	None
TYPHOID VI POLYSACCHARIDE VACCINE	7194H8W3KT	807219	None	None	None
STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE ANTIGEN	667Y1EG6EW	854940	None	None	None
GUAIACUM (RESIN)	03C8A0DFJ8	1373150	None	None	None
SODIUM SULPHATE	0YPR65R21J	36721	None	None	None
SODIUM PHYTATE	88496G1ERL	9903	None	None	None
ETHANOLAMINE HYDROCHLORIDE	KKP3YYL02F	1311530	None	None	None
CLAVICEPS PURPUREA SCLEROTIUM	01G9XEA93N	1311077	None	None	None
MICAFUNGIN SODIUM	IS1UP79R56	487070	None	None	None
GALANTHUS NIVALIS SEED	SJ1FOL985M	1358173	None	None	None
BENZOIC ACID, 2-HYDROXY-, MONOSODIUM SALT	WIQ1H85SYP	9907	None	None	None
DUNALIELLA SALINA	F4O1DKI9A6	1426466	None	None	None
METHIXENE HYDROCHLORIDE	84L8XK6N1G	258230	None	None	None
METHSCOPOLAMINE	VDR09VTQ8U	89785	None	None	None
GLYCYLGLYCINE	10525P22U0	1362904	None	None	None
ALPHA-CYCLODEXTRIN	Z1LH97KTRM	1362882	None	None	None
CITRIC ACID MONOHYDRATE	2968PHW8QP	21183	None	None	None
SERTRALINE	QUC7NX6WMB	36437	None	None	CHEBI_9123
BROMUS RAMOSUS FLOWER	0W9O574LE8	1310006	None	None	None
LITHIUM HYDROGEN ASPARTATE	U2514Q0PG1	236573	None	None	None
MAGNESIUM PHOSPHATE, DIBASIC	A1Y870209Z	1482795	None	None	None
UREA, HYDROXY-	X6Q56QN5QC	5552	None	None	None
BERGAPTEN	4FVK84C92X	15842	None	None	None
HYDROCORTISONE	WI4X0X7BPJ	5492	None	None	CHEBI_17650
BLACK CARROT ANTHOCYANINS	971DA56IOL	1438057	None	None	None
N-ISOPROPYL-N-PHENYL-4-PHENYLENEDIAMINE	E0FUI016V7	1363710	None	None	None
ARNICA MONTANA EXTRACT	O80TY208ZW	285208	None	None	None
NYLIDRIN HCL	EC69E3PW7E	82060	None	None	None
RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN	52202H034Z	762817	None	None	None
BUTYL LACTATE	0UI63W814U	1435572	None	None	None
MEDETOMIDINE HYDROCHLORIDE	BH210P244U	29428	None	None	None
IFENPRODIL TARTRATE	89CTB4XUF7	289912	None	None	None
CILAZAPRIL MONOHYDRATE	19KW7PI29F	21102	None	None	None
SYDNONE IMINE, N-(ETHOXYCARBONYL)-3-(4-MORPHOLINYL)-	D46583G77X	7023	None	None	None
ALLERGENIC EXTRACT, COMMON SAGEBRUSH	YI19RB8YFD	314347	None	None	None
DRITHOCREME	U8CJK0JH5M	92522	None	None	None
LITSEA CUBEBA FRUIT	R3617MQA5Z	1442509	None	None	None
ALBUMIN,IODINATED SERUM,I-131	ACH35131L1	314301	None	None	None
TEMAFLOXACIN HCL	OC5IGJ7J6I	295217	None	None	None
GLYCEROL MONOLAURATE	Y98611C087	314647	None	None	None
NAFTIFINE HCL	25UR9N9041	91293	None	None	None
LIME ALLERGENIC EXTRACT	8CZS546954	1011060	None	None	None
ALUMINUM SULFATE	34S289N54E	17621	None	None	None
VERONICA OFFICINALIS FLOWERING TOP	9IH82J936J	1309952	None	None	None
CYCLOADIPHENINE HYDROCHLORIDE	MVB31OPW05	289372	None	None	None
ERBIUM	77B218D3YE	1311483	None	None	None
CADMIUM SULFIDE	057EZR4Z7Q	1368199	None	None	None
LAVANDULA STOECHAS FLOWERING TOP	70759G2U6A	1309437	None	None	None
FERROUS CITRATE FE59	PW94HT3KE9	91555	None	None	None
ETHANONE, 1-(4-(3-(4-(6-FLUORO-1,2-BENZISOXAZOL-3-YL)-1-PIPERIDINYL)PROPOXY)-3-METHOXYPHENYL)-	VPO7KJ050N	73178	None	None	None
PETIVERIA ALLIACEA ROOT	D3E2DRD55N	1309495	None	None	None
SUS SCROFA SPLEEN	92AMN5J79Y	1311344	None	None	None
VERBASCUM THAPSUS EXTRACT	C9TD27U172	1334750	None	None	None
ISOPROPYL BEHENATE	1BWO0L9BHI	1356483	None	None	None
HYDROXYQUINOLINE SULFATE	61VUG75Y3P	42836	None	None	None
CALTHA PALUSTRIS	6S9317F2UT	1346616	None	None	None
BEEF KIDNEY	5HOC10FSIC	1311170	None	None	None
TP-5	O3Y80ZF13F	40230	None	None	None
CORAL CALCIUM	2E32821G6I	605061	None	None	None
PIPER NIGRUM	6G53L8ESRK	259314	None	None	None
INGA EDULIS SEED EXTRACT	GC3TZ3X7A4	1420970	None	None	None
AVENA SATIVA POLLEN	A7IKY24TR7	852114	None	None	None
MAFENIDE	58447S8P4L	6572	None	None	None
EASTERN WHITE PINE POLLEN EXTRACT	TX1ER5UV3T	852738	None	None	None
NIMERGOLINE	J7P36Z4900	7398	None	None	None
EMCYT	75F375MT2N	3815	None	None	None
ETHYLPHENYLHYDANTOIN	23SM1FA1AK	4136	None	None	None
CANADA BALSAM	K304VI98I3	1372000	None	None	None
CORN POLLEN EXTRACT	74PD8J616H	852015	None	None	None
ACULAR	4EVE5946BQ	152819	None	None	None
2-(4-(DIETHYLAMINO)-2-HYDROXYBENZOYL)BENZOIC ACID	X4K32L28QB	1307085	None	None	None
THERMUS THERMOPHILUS	415H64SACF	1356714	None	None	None
CALCIUM VALPROATE	56CCK4F86G	1927	None	None	None
SIMMONDSIA CHINENSIS SEED WAX	47X6Y9FJJ2	1307760	None	None	None
SENNA ALEXANDRINA SEED	UC1K4NA7ML	1310029	None	None	None
CINNAMEDRINE HYDROCHLORIDE	T4B6SPQ0UF	314557	None	None	None
2(1H)-PYRIMIDINONE, 4-AMINO-1-(2-(HYDROXYMETHYL)-1,3-OXATHIOLAN-5-YL)-, (2R-CIS)-	2T8Q726O95	68244	None	None	None
LARREA DIVARICATA LEAF	I15RZ48987	1307618	None	None	None
SODIUM HYDROXYMETHYLGLYCINATE	DIG6BWZ9XT	1367223	None	None	None
EICOSAPENTAENOIC ACID ETHYL ESTER	6GC8A4PAYH	1304974	None	None	None
FUMITORY EXTRACT	VH659J61ZL	236156	None	None	None
CANTIL	APX8D32IX1	215864	None	None	None
GLUCOSE OXIDASE	0T8392U5N1	1427073	None	None	None
FUZEON	19OWO1T3ZE	356743	None	None	None
PIPAMPERONE DIHYDROCHLORIDE	IT085U64JB	289159	None	None	None
ZIDOVUDINE	4B9XT59T7S	11413	Zidovudine	DB00495	CHEBI_10110
FENDILINE	S253D559A8	4327	None	None	None
SODIUM BITARTRATE	75E63I9H07	89900	None	None	None
BOPINDOLOL	KT304VZO57	19605	None	None	None
INSULIN,REGULAR,HUMAN/RDNA	1Y17CTI5SR	253182	None	None	None
LAMB	FOF26T73HA	1315120	None	None	None
GLUCEPTATE	B1F50160Z2	50470	None	None	None
SULFADIMETHOXINE SODIUM	49DG2B481W	1306121	None	None	None
AMARANTHUS CAUDATUS SEED EXTRACT	FJ722PPQ9M	1307690	None	None	None
BETAMETHASONE BENZOATE	877K0XW47A	1517	None	None	None
LAURETH-23	N72LMW566G	1367165	None	None	None
CLOCONAZOLE	446254H55G	21753	None	None	None
CYCLOMETHYCAINE	15E9I74NZ8	21990	None	None	None
TIOTROPIUM BROMIDE MONOHYDRATE	L64SXO195N	1298831	None	None	None
TRIISONONANOIN	XF4K22WN6T	1427124	None	None	None
AMPHOTERICIN	7XU7A7DROE	42527	None	None	None
DEXMEDETOMIDINE	67VB76HONO	48937	Dexmedetomidine	DB00633	CHEBI_4466
TIMOLOL MALEATE	P8Y54F701R	42933	None	None	None
SALICYLATE	O414PZ4LPZ	9522	None	None	None
METHYL PERFLUOROISOBUTYL ETHER	HI89P35AAX	1431149	None	None	None
CONIUM MACULATUM PREPARATION	TTE3RU7P5P	285151	None	None	None
CHLORPHENAMINE MALEATE	V1Q0O9OJ9Z	142429	None	None	None
PROPINOX HCL	XT63P694CJ	236776	None	None	None
LITHOSTAT	4RZ82L2GY5	52110	None	None	CHEBI_27777
DIOSCOREA VILLOSA TUBER EXTRACT	IWY3IWX2G8	1309690	None	None	None
FOSVESET	5WBR90FN3H	1312592	None	None	None
PACKERA AUREA	5WS1632J8W	1330093	None	None	None
DIMYRISTOYLPHOSPHATIDYLGLYCEROL, DL-	BI71WT9P3R	1427047	None	None	None
MAGNESIUM OROTATE	GI96W46M5A	139233	None	None	None
RICINOLEAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE	V176GWC2SR	1307142	None	None	None
BRYONIA CRETICA SUBSP. DIOICA ROOT	53UB5FH7CX	1336265	None	None	None
CARTHAMUS TINCTORIUS FLOWER BUD	B86IS274O0	1376213	None	None	None
BENZENEMETHANOL, ALPHA-(1-AMINOETHYL)-3-HYDROXY-, (R-(R*,S*))-	818U2PZ2EH	6805	None	None	None
MAGNOLIA VIRGINIANA FLOWER	04VRX3MDZO	1307541	None	None	None
TETRAETHYLTHIURAM DISULFIDE	TR3MLJ1UAI	3554	None	None	CHEBI_4659
GRAMICIDIN	5IE62321P4	5011	None	None	None
COSAMIN	750W5330FY	1046235	None	None	None
SYDNEY GOLDEN WATTLE POLLEN EXTRACT	24SO2J296O	895365	None	None	None
CLOBETASOL PROPIONATE	779619577M	21245	None	None	None
MENTHYL LACTATE, (-)-	2BF9E65L7I	1310581	None	None	None
GLYCINE, N-(4-AMINOBENZOYL)-	Y79XT83BJ9	7832	None	None	None
OXPRENOLOL	519MXN9YZR	7801	None	None	None
POLOXAMER 407	TUF2IVW3M2	155155	None	None	None
SUS SCROFA PROSTATE	O6UD3347K2	1311340	None	None	None
TRIPTORELIN	9081Y98W2V	38782	None	None	None
PLANTAGO MAJOR LEAF EXTRACT	7DC28K241X	1310005	None	None	None
PENICILLIUM ROQUEFORTI	7ORP6R724L	972365	None	None	None
VERBASCUM THAPSUS	C9TD27U172	1334750	None	None	None
LATAMOXEF	VUF6C936Z3	7069	None	None	CHEBI_599928
SODIUM AMINOBENZOATE	75UI7QUZ5J	235493	None	None	None
FLUMAZEPIL	40P7XK9392	4457	None	None	None
METIPRANOLOL	X39AL81KEB	10824	None	None	None
ALLERGENIC EXTRACT,PIGWEED,ROUGH	73B14PX5FW	314426	None	None	None
VIVOTIF	0MZI008M96	762599	None	None	None
CARBOMER HOMOPOLYMER TYPE B (ALLYL PENTAERYTHRITOL CROSSLINKED)	HHT01ZNK31	1311166	None	None	None
TRIMETHYLSILOXYSILICATE (M/Q 0.6-0.8)	5041RX63GN	1426677	None	None	None
GLYBURIDE	SX6K58TVWC	4815	Glyburide	DB01016	None
VIQUIDIL HCL	U6FXT2V136	236343	None	None	None
HYACINTHOIDES NON-SCRIPTA	5F658PFU56	1428043	None	None	None
IODOPROPYLIDENE GLYCEROL	8C0LU36AR9	27723	None	None	None
SUS SCROFA COLON	94J255A0UC	1311268	None	None	None
4-IMIDAZOLIDINECARBOXYLIC ACID, 3-(2-((1-(ETHOXYCARBONYL)-3-PHENYLPROPYL)AMINO)-1-OXOPROPYL)-1-METHYL-2-OXO-, MONOHYDROCHLORIDE, (4S-(3(R*(R*)),4R*))-	7NSF9GG1NU	60245	None	None	None
GLYCYRRHIZA URALENSIS	42B5YD8F0K	1342493	None	None	None
EVEROLIMUS	9HW64Q8G6G	141704	None	None	None
ISOBUTYLPARABEN	0QQJ25X58G	1364296	None	None	None
PETROLATUM,WHITE	4T6H12BN9U	8091	None	None	None
ENFLURANE	91I69L5AY5	3920	None	None	None
NIFUROXAZIDE	PM5LI0P38J	31782	None	None	None
AMYL DIMETHYLAMINOBENZOATE	77FU10423X	1363712	None	None	None
ALUMINIUM CHLOROHYDRATE	HPN8MZW13M	17610	None	None	None
REBETOL	49717AWG6K	352943	None	None	None
AMMONIUM LAURYL SULFATE	Q7AO2R1M0B	1424667	None	None	None
OCTOXYNOL-40	9T1C662FKS	1426395	None	None	None
BLACK WIDOW SPIDER (LATRODECTUS MACTANS) IMMUNE GLOBULIN ANTIVENIN (EQUINE)	5VJA14972G	89887	None	None	None
CYTARABINE LIPOSOME	04079A1RDZ	968804	None	None	None
BENZOIC ACID, 4-AMINO-, ETHYL ESTER	U3RSY48JW5	1399	None	None	None
AMINO METHACRYLATE COPOLYMER	905HNO1SIH	1311153	None	None	None
INOSITOL NIACINATE	A99MK953KZ	27604	None	None	None
HOUSE DUST MITE EXTRACT, DERMATOPHAGOIDES FARINAE	PR9U2YPF3Q	852810	None	None	None
BLACK WIDOW SPIDER VENOM	XJJ7QA858R	1310459	None	None	None
ISOPHOSPHAMIDE	UM20QQM95Y	5657	None	None	CHEBI_5864
ALFADEX	Z1LH97KTRM	1362882	None	None	None
BIPERIDEN HYDROCHLORIDE	K35N76CUHF	91154	None	None	None
MELILOTUS OFFICINALIS POLLEN	UVC3Z60VTX	1014447	None	None	None
DABRAFENIB	QGP4HA4G1B	1424911	Dabrafenib	DB08912	None
MANNOSE, D-	PHA4727WTP	6633	None	None	None
FRANKINCENSE EXTRACT	R9XLF1R1WM	1311479	None	None	None
CHROMIUM CHLORIDE (CRCL3)	Z310X5O5RP	21009	None	None	None
POLYQUATERNIUM-10 (400 MPA.S AT 2%)	HB1401PQFS	1367143	None	None	None
MYOZYME	DTI67O9503	630676	None	None	None
BUTANE	6LV4FOR43R	1310550	None	None	None
ALPHA 1-ANTITRYPSIN	F43I396OIS	535	None	None	None
NYMPHAEA ODORATA ROOT	69RAZ4C432	1310052	None	None	None
ORANGE PEEL	TI9T76XD44	1370778	None	None	None
PEG-8 DIOLEATE	6JR5A7273E	1363621	None	None	None
CELERY ALLERGENIC EXTRACT	44IDY6DTKX	892372	None	None	None
PROPYLENE GLYCOL ALGINATE	26CD3J2R0C	1361656	None	None	None
SAMBUCUS NIGRA FLOWERING TOP	CT03BSA18U	1307698	None	None	None
REHMANNIA GLUTINOSA ROOT	1BEM3U6LQQ	1309220	None	None	None
1H-INDOLE, 5,6-DIMETHOXY-2-METHYL-3-(2-(4-PHENYL-1-PIPERAZINYL)ETHYL)-	5JGL4G25R7	7815	None	None	None
DIMETHICONE 350	2Y53S6ATLU	1363569	None	None	None
POISON IVY EXTRACT	CDH3461U7L	236106	None	None	None
TECHNETIUM TC-99M SESTAMIBI	971Z4W1S09	1482913	None	None	None
FRITILLARIA PRZEWALSKII BULB	8B269H8XVH	1311591	None	None	None
CEFALOTIN SODIUM	C22G6EYP8B	9860	None	None	None
PECTIN	89NA02M4RX	32987	None	None	None
AVICULARIA AVICULARIA PREPARATION	8ZTK6T93B6	1426667	None	None	None
HYDROGENATED COCONUT OIL	JY81OXM1OM	1307683	None	None	None
OFLOXACIN	A4P49JAZ9H	7623	None	None	CHEBI_7731
GLYCERYL TRIACETATE	XHX3C3X673	10756	None	None	None
DAUNORUBICIN LIPOSOMAL	5L84T2Z6NP	214468	None	None	None
PHYLLANTHUS EMBLICA FRUIT JUICE	K8SGU56WPQ	1356140	None	None	None
PAS	5B2658E0N2	7833	None	None	CHEBI_27565
CHLORPROMAZINE	U42B7VYA4P	2403	Chlorpromazine	DB00477	CHEBI_3647
TRIETHYLHEXANOIN	7K3W1BIU6K	1368189	None	None	None
ACMELLA OLERACEA FLOWER	2794N5KM0K	1307610	None	None	None
ADEMPAS	RU3FE2Y4XI	1439889	None	None	None
NONI FRUIT	7829X3G2X5	1311641	None	None	None
C12-20 ALKYL BENZOATE	Y15I6XI14C	1426384	None	None	None
TIGAN	WDQ5P1SX7Q	227528	None	None	None
TETRAKIS(1-ISOCYANO-2-METHOXY-2-METHYL-PROPANE)-COPPER(I) TETRAFLUOROBORATE	N6OU7HJ70P	1306061	None	None	None
ALUMINUM FLUFENAMATE	9NZ7H8YAHG	17612	None	None	None
SIMABA CEDRON SEED	KHI40967MV	1356130	None	None	None
LOBSTER, UNSPECIFIED	ZQ6LG2C39M	892561	None	None	None
CHITOSAN MEDIUM MOLECULAR WEIGHT (200-800 MPA.S)	82LKS4QV2Y	1368152	None	None	None
CAVIA PORCELLUS SKIN	GM3H4U6QS8	852298	None	None	None
BRAVELLE	W9BB98U6HP	352478	None	None	None
OXYCODONE HCL	C1ENJ2TE6C	82063	None	None	None
CITRUS AURANTIIFOLIA FLOWER EXTRACT	43PX2HXI1S	1310117	None	None	None
DIOSCOREA JAPONICA ROOT EXTRACT	I43FCF3356	1307611	None	None	None
ALLERGENIC EXTRACT, COTTONWOOD FREMONT	426RHB4302	314352	None	None	None
CINNAMEDRINE	Y1245J8012	21130	None	None	None
OVEMOTIDE	704120HM0H	1427208	None	None	None
PROLINE	9DLQ4CIU6V	8737	D-Proline	DB02853	CHEBI_17203
CHLORTETRACYCLINE HCL	O1GX33ON8R	42545	None	None	None
OLDENLANDIA DIFFUSA	291PPU5K9I	1426389	None	None	None
BENZYL CHLORIDE	83H19HW7K6	1311516	None	None	None
SUS SCROFA EYE	X3AOK514E6	1311361	None	None	None
MANGAFODIPIR	N02W67RKJS	236987	None	None	None
HYDROXYPROGESTERONE ACETATE	L124O66YSI	1101886	None	None	None
DROXIDOPA	J7A92W69L7	1489913	None	None	None
NORGESTRIENONE	89386PYU9O	7519	None	None	None
CALCIUM CARBIMIDE	ZLR270912W	1902	None	None	None
CHOLETH-20	TTL8TE641X	1306201	None	None	None
NISOLDIPINE	4I8HAB65SZ	7435	None	None	None
N,N-DIMETHYLACETAMIDE	JCV5VDB3HY	1368874	None	None	None
CHOLETH-24	5UE7I54O43	1362898	None	None	None
VEAL	0X5GW3050M	1012026	None	None	None
PERILLA FRUTESCENS LEAF	T4L5881Y68	1309493	None	None	None
COLLAGEN, SOLUBLE, FISH SKIN	8JC99XGU4W	1368163	None	None	None
CAPRYLIC ACID	OBL58JN025	20178	None	None	None
ARNICA MONTANA FLOWER	OZ0E5Y15PZ	1306166	None	None	None
SCOTCH PINE POLLEN EXTRACT	59070I8M63	900764	None	None	None
19-NORPREGN-4-ENE-3,20-DIONE, 17-((1-OXOHEXYL)OXY)-	U38E620NS6	4791	None	None	None
RUBIA TINCTORUM WHOLE	DEF14459OH	1370301	None	None	None
CUPRIC SULPHATE	LRX7AJ16DT	21579	None	None	None
INDOLE	8724FJW4M5	1311224	None	None	CHEBI_16881
PENTYLENETETRAZOLE	WM5Z385K7T	8015	None	None	None
HYPERICUM ERECTUM FLOWERING TOP	IT0296HQDC	1309228	None	None	None
4H-1-BENZOPYRAN-8-CARBOXYLIC ACID, 3-METHYL-4-OXO-2-PHENYL-, 2-(1-PIPERIDINYL)ETHYL ESTER	3E74Y80MEY	4440	None	None	None
AXITINIB	C9LVQ0YUXG	1242999	None	None	CHEBI_66910
INDIGO BLUE	1G5BK41P4F	1426889	None	None	None
PHYTOLACCA AMERICANA ROOT	11E6VI8VEG	1309711	None	None	None
PLERIXAFOR	S915P5499N	733003	Plerixafor	DB06809	None
ZUPREVO	S795AT66JB	1366658	None	None	None
ASCLEPIAS TUBEROSA FLOWERING TOP EXTRACT	Y62M9GTW4A	1309805	None	None	None
FACTREL	3PFC574ITA	92679	None	None	None
FLAVIN MONONUCLEOTIDE	7N464URE7E	4509	None	None	CHEBI_17621
ANDROID	V9EFU16ZIF	731594	None	None	CHEBI_27436
EMGEL	63937KV33D	216888	None	None	None
COVERA	V3888OEY5R	901519	None	None	None
C10-30 CHOLESTEROL/LANOSTEROL ESTERS	137SL7IL0Y	1368142	None	None	None
SARALASIN	H2AFV2HE66	9556	None	None	None
PROTACINE	F2PUN24B8C	34769	None	None	None
PEG-60 GLYCERYL ISOSTEARATE	WQP0973914	1356490	None	None	None
FLUCLOROLONE	036B9W83KK	108091	None	None	None
PHOSPHONIC ACID, (2,2,2-TRICHLORO-1-HYDROXYETHYL)-, DIMETHYL ESTER	DBF2DG4G2K	1000581	None	None	None
ALUMINUM HYDROXYCHLORIDE	HPN8MZW13M	17610	None	None	None
CAPOTEN	9G64RSX1XD	151482	None	None	CHEBI_3380
GELIDIUM CARTILAGINEUM EXTRACT	37LBZ0E1UE	1435391	None	None	None
PETROSELINUM CRISPUM	1WZA4Y92EX	1353886	None	None	None
DIPHENYLTRICHLOROETHANE	DCE98CK2EW	1367423	None	None	None
APIOLE	QQ67504PXO	314506	None	None	None
ROSE OIL	WUB68Y35M7	1309371	None	None	None
ORNITHINE HYDROCHLORIDE	HBK84K66XH	1311542	None	None	None
FERRIC SUBSULFATE SOLUTION	3QJ8WS6V8H	24912	None	None	None
SORIATANE	LCH760E9T7	196467	None	None	CHEBI_50173
CICUTA VIROSA WHOLE	3E698BL84C	1484856	None	None	None
BIS(1-PIPERIDYLTHIOCARBONYL)DISULFIDE	CR113982E5	1426773	None	None	None
METHANTHELINIUM	36EI79TX7I	6821	None	None	None
RETINAMIDE	BQC43T81DZ	1367161	None	None	None
RUMEX CRISPUS ROOT EXTRACT	9N1RM2S62C	1345677	None	None	None
INDOMETHACIN SODIUM TRIHYDRATE	0IMX38M2GG	258329	None	None	None
RABEPRAZOLE	32828355LL	114979	None	None	CHEBI_8768
CALCIUM GLUBIONATE	3CF7K0SD0Q	25806	None	None	None
METOCLOPRAMIDE HYDROCHLORIDE	W1792A2RVD	267036	None	None	None
MYRBETRIQ	MVR3JL3B2V	1300792	None	None	CHEBI_65349
CROTALUS HORRIDUS HORRIDUS VENOM	YHA2XLJ956	1310456	None	None	None
ALCAFTADINE	7Z8O94ECSX	1000082	Alcaftadine	DB06766	CHEBI_71023
ETHYLENE-VINYL ACETATE COPOLYMER (9% VINYLACETATE)	4OKC630HS6	1427045	None	None	None
MANDELIC ACID	NH496X0UJX	29256	None	None	None
CAMELLIA OLEIFERA SEED EXTRACT	59ED29FM2J	1307849	None	None	None
PAMBA	68WG9JKC7L	14852	None	None	None
INSULIN,NPH,BEEF	576O9IZ534	317235	None	None	None
1-PROPANAMINE, 3-(10,11-DIHYDRO-5H-DIBENZO(A,D)CYCLOHEPTEN-5-YLIDENE)-N-METHYL-	BL03SY4LXB	7531	None	None	None
AMMONIUM CHLORIDE ((NH4)CL)	01Q9PC255D	712	None	None	None
YELLOW FEVER VACCINE	PY4EET359T	89890	None	None	None
D-GLUCONIC ACID	R4R8J0Q44B	70599	None	None	None
BUCKTHORN EXTRACT	B4R1EZ1R1D	319828	None	None	None
SUS SCROFA PEYER'S PATCH	308LM01C72	1311199	None	None	None
AJMALINE	1PON08459R	423	None	None	None
LAMINARIA OCHROLEUCA EXTRACT	4R2124HE76	1426559	None	None	None
ZOMEPIRAC SODIUM	Y0185WZ209	58331	None	None	None
TEFERROL	UM5219H89V	37744	None	None	None
ACLOVATE	S56PQL4N1V	214979	None	None	None
MORUS AUSTRALIS ROOT	1VL55O45RF	1307602	None	None	None
LICORICE ALLERGENIC EXTRACT	2788Z9758H	1010954	None	None	None
TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE	N6OU7HJ70P	1306061	None	None	None
BEAN EXTRACT	8WB9PV3YW5	1370773	None	None	None
ECHINACEA, UNSPECIFIED	4N9P6CC1DX	228041	None	None	None
N,N-DIMETHYLAMINOETHYL METHACRYLATE-BUTYL METHACRYLATE-METHYL METHACRYLATE COPOLYMER (2:1:1)	905HNO1SIH	1311153	None	None	None
POLYETHYLENE GLYCOL 500	761NX2Q08Y	1313266	None	None	None
TRIMETHYLPENTANEDIOL/ADIPIC ACID/GLYCERIN CROSSPOLYMER (25000 MPA.S)	587WKM3S9Q	1426831	None	None	None
INSULIN,LENTE,HUMAN/SEMISYNTHETIC	1Y17CTI5SR	314683	None	None	None
LEVAMISOLE HYDROCHLORIDE	DL9055K809	227227	None	None	None
BENZENESULFONAMIDE, 4-(AMINOMETHYL)-	58447S8P4L	6572	None	None	None
SAPONARIA OFFICINALIS LEAF EXTRACT	3988313MM7	1488816	None	None	None
ROBUSTA COFFEE BEAN	V5032728L7	1307314	None	None	None
CLEBOPRIDE MALATE	H9490V5216	236701	None	None	None
MAGNESIUM SALICYLATE TETRAHYDRATE	41728CY7UX	253186	None	None	None
TEA TREE OIL	VIF565UC2G	69627	None	None	None
D-RIBOSE	681HV46001	1314858	None	None	None
CHILEAN HAZELNUT OIL	KX8NF172FG	1307679	None	None	None
PALMITAMIDOPROPYLTRIMONIUM CHLORIDE	N2U96D202F	1489928	None	None	None
ALLERGENIC EXTRACT- ORCHARD GRASS DACTYLIS GLOMERATA	83N78IDA7P	851878	None	None	None
2-PYRROLIDONE	KKL5D39EOL	1358473	None	None	None
