FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
TYRAMINE HCL	Z5KDH3H147	236897	None	None	None
DIHYDROERGOCRISTINE MESILATE	DS7CL18UAM	42645	None	None	None
ASPERGILLUS FLAVUS ALLERGENIC EXTRACT	3J888Y9L13	999384	None	None	None
DIPYRONE	6429L0L52Y	3523	None	None	None
ALIMTA	2PKU919BA9	323879	None	None	None
GUGGUL	34969JX79R	26346	None	None	None
PRIMULA VERIS FLOWER	W5BET37294	1487833	None	None	None
GEPEFRINE TARTRATE	Y64EJ7HA03	236858	None	None	None
PARA GRASS POLLEN EXTRACT	3ZO9YGZ8ZJ	894750	None	None	None
AZATHIOPRINE SODIUM SALT	AM94R510MS	267476	None	None	None
DIPHENOXYLATE HYDROCHLORIDE	W24OD7YW48	82005	None	None	None
HEMIN	743LRP9S7N	5175	None	None	None
1-CHLOROBUTANE	ZP7R667SGD	19900	None	None	None
CHAMAECYPARIS OBTUSA WHOLE	80ZNL1G5XY	1429927	None	None	None
PINE BARK EXTRACT	50JZ5Z98QY	259276	None	None	None
SOYBEAN PREPARATION	L7HT8F1ZOD	287515	None	None	None
PRUSSIAN BLUE	TLE294X33A	24902	None	None	None
ELDER EXTRACT	07V4DX094T	317808	None	None	None
ICOSAPENT	AAN7QOV9EA	90	Icosapent	DB00159	CHEBI_28364
ANGELICA DAHURICA ROOT	1V63N2S972	1306167	None	None	None
URISPAS	9C05J6089W	11048	None	None	None
INDOBUFEN	6T9949G4LZ	27518	None	None	None
MORGANELLA MORGANII	56X6LID5ZY	1311228	None	None	None
AZADIRACHTA INDICA LEAF EXTRACT	HKY915780T	1307640	None	None	None
SOY STEROL	PL360EPO9J	1363446	None	None	None
MYCAMINE	IS1UP79R56	583520	None	None	CHEBI_600520
LEVOMETHADONE	6Y75Z4E8NS	236913	None	None	None
DISODIUM PYROPHOSPHATE	H5WVD9LZUD	267798	None	None	None
LAMINARIA ANGUSTATA	2J2UIK8XBZ	1371995	None	None	None
VARDENAFIL HYDROCHLORIDE	5M8S2CU0TS	307306	None	None	None
SOY GERM	JBW2VHD14M	259430	None	None	None
SHARK LIVER OIL	4B24275HEU	91472	None	None	None
LINACLOTIDE	N0TXR0XR5X	1307404	None	None	None
ALDESLEUKIN	M89N0Q7EQR	70223	None	None	None
CETYL PALMITOLEATE	962I97113K	1306183	None	None	None
HYDROCORTISONE VALERATE	68717P8FUZ	27199	None	None	None
LEVOPROPOXYPHENE NAPSYLATE	KK9590R73S	402519	None	None	None
DILOXANIDE	89134SCM7M	67182	None	None	None
DIFLUCORTOLONE VALERATE	1A63Z067C8	23035	None	None	None
SENNOSIDES A AND B	1B5FPI42EN	36387	None	None	None
ONONIS REPENS WHOLE	7J37EHM6J6	1358961	None	None	None
ACAMPROSATE	N4K14YGM3J	82819	Acamprosate	DB00659	CHEBI_51041
DOXYCYCLINE	N12000U13O	3640	None	None	None
AXID AR	P41PML4GHR	215493	None	None	None
METHANESULFONAMIDE, N-(4-(9-ACRIDINYLAMINO)-3-METHOXYPHENYL)-	00DPD30SOY	739	None	None	None
RESCINNAMINE	Q6W1F7DJ2D	9259	Rescinnamine	DB01180	None
PHENMETRAZINE HYDROCHLORIDE	6U85YRT588	203198	None	None	None
METHYLERGONOVINE	W53L6FE61V	6883	Methylergometrine	DB00353	None
SUS SCROFA RED BLOOD CELL	5X23IGF970	1311255	None	None	None
EPIMEDIUM GRANDIFLORUM WHOLE	S57NI79KGP	1358889	None	None	None
CHRYSONILIA SITOPHILA	296FK85FY6	314411	None	None	None
HUMAN ROTAVIRUS A TYPE G1P7(5) STRAIN WI79 LIVE ANTIGEN	25VC15141Q	798286	None	None	None
HEPATITIS B SURFACE ANTIGENS	IFJ010MNE4	5240	None	None	None
TROPISETRON	6I819NIK1W	27392	None	None	None
INDIGO	1G5BK41P4F	1426889	None	None	None
AMATINE	59JV96YTXV	219419	None	None	None
MASOPROCOL	7BO8G1BYQU	227239	Masoprocol	DB00179	None
EPOPROSTENOL SODIUM	4K04IQ1OF4	104463	None	None	None
WEST NILE VIRUS	J067L6I0TY	1316080	None	None	None
ALPHA 1-PROTEINASE INHIBITOR, HUMAN	F43I396OIS	991743	None	None	None
TRIFLUPROMAZINE HCL	9E75N4A5HM	91125	None	None	None
PENICILLIUM DIGITATUM	1SB49SV239	1427044	None	None	None
HYDROXYPROPYL BISSTEARYLDIMONIUM CHLORIDE	OVB1E9X12I	1368486	None	None	None
ANTIZOL	83LCM6L2BY	157817	None	None	CHEBI_5141
FLOXACILLIN	43B2M34G2V	4448	None	None	CHEBI_5098
EPRINOMECTIN	75KP30FD8O	1006619	None	None	None
FRUCTOSE	6YSS42VSEV	4570	None	None	None
PIRIBEDIL	DO22K1PRDJ	8353	None	None	None
SUS SCROFA MESENCHYME	UH52A16DZB	1311254	None	None	None
ALKALOIDS, RAUWOLFIA	H192N84N1G	9152	None	None	None
PYRILAMINE MALEATE	R35D29L3ZA	82091	None	None	None
ALLERGENIC EXTRACT, RYE GRASS PERENNIAL	4T81LB52R0	314378	None	None	None
RAUWOLFIA ALKALOIDS	H192N84N1G	9152	None	None	None
CITRACONIC ACID	0RQ6CXO9KD	1435287	Citraconic acid	DB04734	None
BENZENESULFONIC ACID	685928Z18A	993243	None	None	None
BARLEY EXTRACT	5PWM7YLI7R	1370766	None	None	None
STEVIA LEAF	6TC6NN0876	1307971	None	None	None
PLEOSPORA TARDA	TPL549N9R8	852404	None	None	None
GADOXETATE DISODIUM	HOY74VZE0M	637320	None	None	None
ASAFETIDA EXTRACT	W9FZA51AS1	319779	None	None	None
GLIOCLADIUM ALLERGENIC EXTRACT	8Z8C642TPL	1192997	None	None	None
FILIPENDULA ULMARIA FLOWER	06L18L32G6	1307553	None	None	None
REBOXETINE	947S0YZ36I	60842	None	None	None
ARTEMETHER	C7D6T3H22J	18343	Artemether	DB06697	CHEBI_195280
ACETOPHENAZINE MALEATE	3P5HNU5JTC	91127	None	None	None
SODIUM LAURETH SULFATE	BPV390UAP0	1310569	None	None	None
MEGLUMINE GADOBENATE	3Q6PPC19PO	68173	None	None	None
MESO-2,3-DIMERCAPTOSUCCINIC ACID	DX1U2629QE	3446	None	None	None
DANTRIUM	287M0347EV	3104	None	None	None
THONZYLAMINE HYDROCHLORIDE	6K9YKD48Y4	1360720	None	None	None
HUMAN HERPESVIRUS 2	74J6DNH49U	1318479	None	None	None
SODIUM ANISATE	F9WFJ28MV9	1366968	None	None	None
FESOTERODINE FUMARATE	EOS72165S7	797196	None	None	None
SILODOSIN	CUZ39LUY82	720825	Silodosin	DB06207	None
2',3'-DIDEOXY-3'-THIACYTIDINE	H6S9D88T3D	68244	None	None	None
DILOXANIDE FUROATE	YP4N72IW34	23203	Diloxanide	DB08792	None
MONOETHANOLAMINE	5KV86114PT	24457	Ethanolamine	DB03994	CHEBI_16000
MEGESTROL ACETATE	TJ2M0FR8ES	29451	None	None	None
SODIUM OXALATE	7U0V68LT9X	1441659	None	None	None
2-HYDROXY-4-METHOXYBENZOPHENONE-5-SULFONIC ACID	1W6L629B4K	1311567	None	None	None
FELIS CATUS DANDER	ZDN2AC0L08	465953	None	None	None
PEA	W4X7H8GYFM	1426912	None	None	None
FERULA ASSA-FOETIDA ROOT	3U9288P88T	1307720	None	None	None
PHENYLMERCURIC ACETATE	OSX88361UX	1426778	None	None	None
LACTOBACILLUS ACIDOPHILUS	1PRR1V42V5	6205	None	None	None
