concept_id|concept_code
35104105|10053138
35104106|10062759
35104107|10059589
35104108|10015279
35104109|10053213
35104110|10050443
35104111|10021074
35104112|10028560
35104113|10033661
35104114|10050026
35104115|10062941
35104116|10035537
35104117|10068043
35104118|10067940
35104119|10014080
35104120|10062713
35104121|10019008
35104122|10019009
35104123|10021688
35104124|10021749
35104125|10034754
35104126|10065304
35104127|10047623
35104128|10000531
35104129|10053745
35104130|10056496
35104131|10068370
35104132|10002832
35104133|10067787
35104134|10016075
35104135|10016076
35104136|10052473
35104137|10016077
35104138|10048930
35104139|10016079
35104140|10016080
35104141|10052474
35104142|10016082
35104143|10051806
35104144|10016083
35104145|10061992
35104146|10056492
35104147|10056493
35104148|10056494
35104149|10056495
35104150|10021085
35104151|10051298
35104152|10051292
35104153|10047715
35104154|10049862
35104155|10051122
35104156|10056867
35104157|10067010
35104158|10002817
35104159|10009732
35104160|10065442
35104161|10009802
35104162|10063563
35104163|10051123
35104164|10060906
35104165|10013442
35104166|10013443
35104167|10065003
35104168|10051778
35104169|10058279
35104170|10056335
35104171|10048619
35104172|10059608
35104173|10059598
35104174|10020608
35104175|10020973
35104176|10037556
35104177|10043645
35104178|10019617
35104179|10024377
35104180|10052316
35104181|10037549
35104182|10037557
35104183|10057739
35104184|10037560
35104185|10047097
35104186|10061590
35104187|10061729
35104188|10066816
35104189|10064851
35104190|10058822
35104191|10051763
35104192|10064269
35104193|10048396
35104194|10007246
35104195|10010543
35104196|10062714
35104197|10056474
35104198|10063827
35104199|10061188
35104200|10018873
35104201|10059484
35104202|10020630
35104203|10020633
35104204|10051151
35104205|10020974
35104206|10058002
35104207|10024404
35104208|10026891
35104209|10054978
35104210|10051662
35104211|10027496
35104212|10027498
35104213|10053869
35104214|10035146
35104215|10068179
35104216|10042490
35104217|10042949
35104218|10044359
35104219|10060997
35104220|10059425
35104221|10049557
35104222|10049556
35104223|10068123
35104224|10066476
35104225|10061187
35104226|10062044
35104227|10025638
35104228|10026702
35104229|10026851
35104230|10037127
35104231|10053190
35104232|10051169
35104233|10060801
35104234|10068785
35104235|10020117
35104236|10048595
35104237|10023688
35104238|10049646
35104239|10025581
35104240|10069097
35104241|10063397
35104242|10050251
35104243|10068349
35104244|10069070
35104245|10061232
35104246|10061233
35104247|10068348
35104248|10005089
35104249|10015493
35104250|10024383
35104251|10051141
35104252|10028537
35104253|10028561
35104254|10028576
35104255|10036057
35104256|10068581
35104257|10002058
35104258|10018883
35104259|10055021
35104260|10055019
35104261|10055020
35104262|10053215
35104263|10063740
35104264|10062917
35104265|10060892
35104266|10051895
35104267|10013609
35104268|10048775
35104269|10038935
35104270|10040641
35104271|10040642
35104272|10040650
35104273|10043395
35104274|10012236
35104275|10043388
35104276|10043390
35104277|10043391
35104278|10043396
35104279|10049009
35104280|10010940
35104281|10018916
35104282|10060893
35104283|10034042
35104284|10000206
35104285|10060935
35104286|10002046
35104287|10009868
35104288|10010941
35104289|10053873
35104290|10067122
35104291|10023052
35104292|10063676
35104293|10047822
35104294|10000205
35104295|10056369
35104296|10015251
35104297|10039037
35104298|10018932
35104299|10027527
35104300|10015871
35104301|10018901
35104302|10018910
35104303|10050190
35104304|10020578
35104305|10022822
35104306|10023126
35104307|10023128
35104308|10023138
35104309|10026827
35104310|10062622
35104311|10014490
35104312|10018444
35104313|10018919
35104314|10054920
35104315|10019904
