drugbankid	drugbankName	pubchemSubstanceId	pubchemCompoundId
DB00387	Procyclidine	46505553	4919
DB00388	Phenylephrine	46506961	6041
DB00389	Carbimazole	46506359	31072
DB00390	Digoxin
DB00391	Sulpiride	46504855	5355
DB00392	Ethopropazine	46507375	3290
DB00393	Nimodipine	46508497	4497
DB00394	Beclomethasone
DB00395	Carisoprodol	46506377	2576
DB00396	Progesterone	46508968	5994
DB00397	Phenylpropanolamine	46508087	26934
DB00398	Sorafenib	46505329	216239
DB00399	Zoledronate	46507310	68740
DB00400	Griseofulvin	46508437	441140
DB00401	Nisoldipine	46504546	4499
DB00402	Eszopiclone	46505809	969472
DB00403	Ceruletide
DB00404	Alprazolam	46507078	2118
DB00405	Dexbrompheniramine	46505186	16960
DB00406	Gentian Violet	46505353	3468
DB00407	Ardeparin	46505194	772
DB00408	Loxapine	46505047	3964
DB00409	Remoxipride	46508689	54477
DB00410	Mupirocin	46505594	446596
DB00411	Carbachol
DB00412	Rosiglitazone
DB00413	Pramipexole
DB00414	Acetohexamide	46505821	1989
DB00415	Ampicillin	46505346	6249
DB00416	Metocurine Iodide	46507773	24244
DB00417	Penicillin V	46507164	6869
DB00418	Secobarbital
DB00419	Miglustat	46506350	51634
DB00420	Promazine	46504504	4926
DB00421	Spironolactone	46508525	5833
DB00422	Methylphenidate	46505929	4158
DB00423	Methocarbamol	46507761	4107
DB00424	Hyoscyamine
DB00425	Zolpidem	46507949	5732
DB00426	Famciclovir	46507561	3324
DB00427	Triprolidine	46505403	5282443
DB00428	Streptozocin	46508872	29327
DB00429	Carboprost Tromethamine
DB00430	Cefpiramide
DB00431	Lindane
DB00432	Trifluridine	46506192	6256
DB00433	Prochlorperazine	46509018	4917
DB00434	Cyproheptadine	46508613	2913
DB00435	Nitric Oxide	46506897	145068
DB00436	Bendroflumethiazide	46508672	2315
DB00437	Allopurinol	46508516	2094
DB00438	Ceftazidime	46506143	5481173
DB00439	Cerivastatin	46505877	446156
DB00440	Trimethoprim	46507125	5578
DB00441	Gemcitabine	46506425	60750
DB00442	Entecavir	46504864	153941
DB00443	Betamethasone	46505155	9782
DB00444	Teniposide	46507536	34698
DB00445	Epirubicin	46507282	41867
DB00446	Chloramphenicol
DB00447	Loracarbef
DB00448	Lansoprazole	46508975	3883
DB00449	Dipivefrin	46504716	3105
DB00450	Droperidol	46505291	3168
DB00451	Levothyroxine	46507672	5819
DB00452	Framycetin	46508892	8378
DB00453	Clomocycline	46505301	5464321
DB00454	Pethidine	46506899	4058
DB00455	Loratadine	46507853	3957
DB00456	Cefalotin	46509079	6024
DB00457	Prazosin	46508594	4893
DB00458	Imipramine	46507351	3696
DB00459	Acitretin
DB00460	Verteporfin	46506236	5362420
DB00461	Nabumetone	46507729	4409
DB00462	Methylscopolamine bromide	46506260	23724781
DB00463	Metharbital	46508167	4099
DB00464	Sodium Tetradecyl Sulfate	46505919	5248
DB00465	Ketorolac	46507019	3826
DB00466	Picrotoxin	46506796	31304
DB00467	Enoxacin	46507505	3229
DB00468	Quinine
DB00469	Tenoxicam	46507303	5312154
DB00470	Dronabinol
DB00471	Montelukast	46505585	5281040
DB00472	Fluoxetine	46507902	3386
DB00473	Hexylcaine	46506241	10770
DB00474	Methohexital	46507954	9034
DB00475	Chlordiazepoxide
DB00476	Duloxetine	46507937	60835
DB00477	Chlorpromazine	46508395	2726
DB00478	Rimantadine	46505973	5071
DB00479	Amikacin	46506386	37768
DB00480	Lenalidomide	46505725	216326
DB00481	Raloxifene	46506514	5035
DB00482	Celecoxib	46505596	2662
DB00483	Gallamine Triethiodide
DB00484	Brimonidine	46507305	2435
DB00485	Dicloxacillin	46508182	18381
DB00486	Nabilone	46505171	5284592
DB00487	Pefloxacin	46507338	51081
DB00488	Altretamine	46505760	2123
DB00489	Sotalol	46505012	5253
DB00490	Buspirone	46508113	2477
DB00491	Miglitol	46504492	441314
DB00492	Fosinopril	46506495	55891
DB00493	Cefotaxime
DB00494	Entacapone	46508734	5281081
DB00495	Zidovudine	46508240	35370
DB00496	Darifenacin	46508104	444031
DB00497	Oxycodone	46508908	5284603
DB00498	Phenindione	46505018	4760
DB00499	Flutamide	46508874	3397
DB00500	Tolmetin	46507060	5509
DB00501	Cimetidine	46505360	2756
DB00502	Haloperidol	46508794	3559
DB00503	Ritonavir	46505050	392622
DB00504	Levallorphan	46505682	5359371
DB00505	Tridihexethyl	46506672	20299
DB00507	Nitazoxanide	46507813	41684
DB00508	Triflupromazine	46507344	5568
DB00509	Dextrothyroxine
DB00511	Acetyldigitoxin
DB00512	Vancomycin	46505261	14969
DB00513	Aminocaproic Acid	46506934	564
DB00514	Dextromethorphan
DB00515	Cisplatin	46504561	441203
DB00516	Bentoquatam	46508055	517273
DB00517	Anisotropine Methylbromide
DB00518	Albendazole	46506472	2082
DB00519	Trandolapril	46508300	5484727
DB00520	Caspofungin	46508288	2826718
DB00521	Carteolol	46507513	2583
DB00522	Bentiromide
DB00523	Alitretinoin
DB00524	Metolazone	46509058	4170
DB00525	Tolnaftate	46505456	5510
DB00526	Oxaliplatin	46509083	6857599
DB00527	Cinchocaine	46506734	3025
DB00528	Lercanidipine	46508865	65866
DB00529	Foscarnet	46507873	3415
DB00530	Erlotinib	46508021	176870
DB00531	Cyclophosphamide	46505441	2907
DB00532	Mephenytoin	46508677	4060
DB00533	Rofecoxib	46504787	5090
DB00534	Chlormerodrin	46504793	25210
DB00535	Cefdinir	46505573	6915944
DB00536	Guanidine	46507543	3520
DB00537	Ciprofloxacin	46504733	2764
DB00538	Gadoversetamide	46504481	444013
DB00539	Toremifene	46506087	3005573
DB00540	Nortriptyline	46507783	4543
DB00541	Vincristine	46507033	5978
DB00542	Benazepril	46507884	5362124
DB00543	Amoxapine	46509117	2170
DB00544	Fluorouracil	46508557	3385
DB00545	Pyridostigmine	46506129	4991
DB00546	Adinazolam	46509054	37632
DB00547	Desoximetasone	46506793	5311067
DB00548	Azelaic Acid	46506284	2266
DB00549	Zafirlukast	46506874	5717
DB00550	Propylthiouracil	46505181	657298
